date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:55:22	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:55:22%20GMT	http://em.logosny.org/?p=859	C:/My%20Web%20Sites/logosny/em.logosny.org/index049d.html	(from http://em.logosny.org/staff/mary-leung)
17:55:22	546026/546026	UR-M--	200	added ('Partial%20Content')	image/png	date:Sun,%2012%20May%202019%2019:20:50%20GMT	http://em.logosny.org/wp-content/uploads/2017/01/Welcome-Slider.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2017/01/Welcome-Slider.png	(from http://em.logosny.org/)
17:55:24	5407/5407	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:55:23%20GMT	http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fstaff%2Fmary-leung&format=xml	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-json/oembed/1.0/embed67bc.html	(from http://em.logosny.org/staff/mary-leung)
17:55:25	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:55:25%20GMT	http://em.logosny.org/%22http:////em.logosny.org//im-new/%22	C:/My%20Web%20Sites/logosny/em.logosny.org/_http_/em.logosny.org/im-new/_.html	(from http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fim-new)
17:55:26	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:55:26%20GMT	http://em.logosny.org/%22http:////em.logosny.org//im-new//welcome/%22	C:/My%20Web%20Sites/logosny/em.logosny.org/_http_/em.logosny.org/im-new/welcome/_.html	(from http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fim-new%2Fwelcome)
17:55:28	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:55:27%20GMT	http://em.logosny.org/%22http:////em.logosny.org//im-new//times-and-location/%22	C:/My%20Web%20Sites/logosny/em.logosny.org/_http_/em.logosny.org/im-new/times-and-location/_.html	(from http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fim-new%2Ftimes-and-location)
17:55:31	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:55:30%20GMT	http://em.logosny.org/%22http:////em.logosny.org//im-new//children-and-youth/%22	C:/My%20Web%20Sites/logosny/em.logosny.org/_http_/em.logosny.org/im-new/children-and-youth/_.html	(from http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fim-new%2Fchildren-and-youth)
17:55:44	439162/439162	---M--	200	added ('OK')	image/png	date:Sun,%2012%20May%202019%2019:24:39%20GMT	http://em.logosny.org/wp-content/uploads/2016/10/Website-Banners-1.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2016/10/Website-Banners-1.png	(from http://em.logosny.org/sermon)
17:55:45	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:55:45%20GMT	http://em.logosny.org/%22http:////em.logosny.org//im-new//find-a-fellowship/%22	C:/My%20Web%20Sites/logosny/em.logosny.org/_http_/em.logosny.org/im-new/find-a-fellowship/_.html	(from http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fim-new%2Ffind-a-fellowship)
17:55:51	664541/664541	UR-M--	200	added ('Partial%20Content')	image/png	date:Sun,%2012%20May%202019%2019:23:57%20GMT	http://em.logosny.org/wp-content/uploads/2016/10/Website-Banners-8.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2016/10/Website-Banners-8.png	(from http://em.logosny.org/im-new/welcome)
17:55:52	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:55:52%20GMT	http://em.logosny.org/%22http:////em.logosny.org//im-new//common-questions/%22	C:/My%20Web%20Sites/logosny/em.logosny.org/_http_/em.logosny.org/im-new/common-questions/_.html	(from http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fim-new%2Fcommon-questions)
